ticker,strategy,folds,avg_sharpe,avg_return_%,avg_max_dd_%,trades_sum,avg_win_rate,avg_profit_factor
2914_T,MACD,15,0.2745387908158546,0.3183563478607248,-0.8452771330527575,17,75.0,0.0
3382_T,MACD,15,-0.08900748319578435,0.0,-1.229800907220946,21,50.0,0.0
4523_T,MACD,15,0.13461693694626875,0.0403981466575642,-1.3442589328689247,20,50.0,0.0
8411_T,MACD,15,-0.06601638259315296,0.0,-1.13699440100401,14,25.0,0.0
9432_T,MACD,15,0.2929578362103859,0.2239603244931495,-1.1018354710086609,24,50.0,0.0
DIA,MACD,15,0.4112999625571811,0.2141223390439845,-0.6309244572453632,16,100.0,0.0
INTC,MACD,15,0.4500104911053903,0.0,-1.2936047212726898,13,100.0,0.0
QCOM,MACD,15,0.2184805039725431,0.0,-1.5748032636414666,17,100.0,0.0
